"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
109,"1","2026-01-19T08:14:47.370433Z",517,"/data/local-files/?d=raw_captures/top_view/20260119_165144_0019.jpg","[{""x"":30.69330006837845,""y"":1.2183189392089844,""width"":38.65619599819183,""height"":79.77586388587952,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":19.74990963935852,""y"":81.04354441165924,""width"":59.49268341064453,""height"":18.887120485305786,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":19.707119464874268,""y"":82.41355270147324,""width"":59.78032350540161,""height"":17.586448788642883,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":60.41477006659809,""y"":39.26643851238679,""width"":2.429535149758386,""height"":34.314677385381884,""rotation"":5.581215790748104,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080},{""x"":37.64764103545773,""y"":28.768717121188736,""width"":11.908646003262628,""height"":2.755120536523466,""rotation"":2.8387878410051712,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",22.428,"2026-01-19T08:14:47.370447Z"
113,"1","2026-01-19T08:15:16.253526Z",521,"/data/local-files/?d=raw_captures/top_view/20260119_165144_0020.jpg","[{""x"":29.271630942821503,""y"":1.481485366821289,""width"":41.62018597126007,""height"":91.50144457817078,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":60.96143154307095,""y"":44.119283131044305,""width"":2.8579340842429044,""height"":35.1236218409044,""rotation"":5.6020377133373245,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080},{""x"":35.88907014681889,""y"":32.33641471814393,""width"":13.621533442088118,""height"":3.7701649447163303,""rotation"":0,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",23.138,"2026-01-19T08:15:16.253538Z"
117,"1","2026-01-19T08:15:46.048304Z",525,"/data/local-files/?d=raw_captures/top_view/20260119_165144_0021.jpg","[{""x"":27.806882560253143,""y"":1.5567898750305176,""width"":43.56986582279205,""height"":97.47533798217773,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":62.232770714387684,""y"":45.323359112429,""width"":3.0179445350734047,""height"":36.86113315179017,""rotation"":7.829076510058314,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080},{""x"":35.93806094278452,""y"":34.27181640512044,""width"":13.789905864923613,""height"":3.307541891446157,""rotation"":1.6135389328795213,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",20.595,"2026-01-19T08:15:46.048317Z"
133,"1","2026-01-19T08:16:40.850062Z",541,"/data/local-files/?d=raw_captures/top_view/20260119_165144_0025.jpg","[{""x"":19.548720121383667,""y"":3.622528910636902,""width"":60.246723890304565,""height"":95.3123390674591,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":30.255768986425412,""y"":53.36246431683179,""width"":19.249592169657408,""height"":5.655247417074496,""rotation"":2.4366482468093977,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080},{""x"":64.51876019575857,""y"":70.18307050933481,""width"":4.730831973898848,""height"":29.81692949066519,""rotation"":0,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",14.806,"2026-01-19T08:16:40.850076Z"
197,"1","2026-01-19T08:17:59.649071Z",605,"/data/local-files/?d=raw_captures/top_view/20260119_165144_0041.jpg","[{""x"":10.807913541793823,""y"":51.12299770116806,""width"":75.57802200317383,""height"":48.87700378894806,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":47.87633214145899,""y"":0.39646029472351074,""width"":6.207482144236565,""height"":11.327603459358215,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":49.999999999999964,""y"":55.68243610657966,""width"":16.394779771615024,""height"":4.930215696936733,""rotation"":0,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",10.662,"2026-01-19T08:17:59.649093Z"
201,"1","2026-01-19T08:18:11.164512Z",609,"/data/local-files/?d=raw_captures/top_view/20260119_165144_0042.jpg","[{""x"":9.358081221580505,""y"":80.00060021877289,""width"":77.93720364570618,""height"":19.946831464767456,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":47.687895223498344,""y"":0.4187636077404022,""width"":6.911239773035049,""height"":12.390545010566711,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":50.08156606851549,""y"":87.43882544861331,""width"":23.164763458401282,""height"":8.12035526554287,""rotation"":0,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",7.964,"2026-01-19T08:18:11.164567Z"
223,"1","2026-01-19T08:19:05.723526Z",631,"/data/local-files/?d=raw_captures/side_view_1/20260119_165156_0004.jpg","[{""x"":7.394768562635823,""y"":-7.105427357601002e-15,""width"":66.85855984687805,""height"":95.51200866699219,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":75.27259290218353,""y"":43.91765296459198,""width"":24.688726663589478,""height"":55.84009289741516,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":37.76502546060946,""y"":23.472290847166104,""width"":5.269824200117816,""height"":44.42449687138338,""rotation"":4.117333648851627,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",22.501,"2026-01-19T08:19:05.723536Z"
224,"1","2026-01-19T08:19:24.898543Z",632,"/data/local-files/?d=raw_captures/side_view_2/20260119_165156_0004.jpg","[{""x"":46.36806398630142,""y"":0.44684410095214844,""width"":37.07805573940277,""height"":73.58639240264893,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":75.77640786767006,""y"":0,""width"":24.22359436750412,""height"":42.34609007835388,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":88.75673014147421,""y"":6.43949631298823,""width"":1.794453507340941,""height"":20.30922084088568,""rotation"":17.486561077760882,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",18.993,"2026-01-19T08:19:24.898563Z"
231,"1","2026-01-19T08:19:49.756563Z",639,"/data/local-files/?d=raw_captures/side_view_1/20260119_165156_0006.jpg","[{""x"":5.906599760055542,""y"":3.8869887590408325,""width"":73.28916788101196,""height"":95.45579552650452,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":83.52352231740952,""y"":57.39094018936157,""width"":16.476479172706604,""height"":42.1877384185791,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":42.877573957609705,""y"":27.156928103166532,""width"":6.455065053970655,""height"":48.20816221299454,""rotation"":6.728512093768359,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",13.372,"2026-01-19T08:19:49.756580Z"
239,"1","2026-01-19T08:20:20.893641Z",647,"/data/local-files/?d=raw_captures/side_view_1/20260119_165156_0008.jpg","[{""x"":6.810247898101807,""y"":4.482096433639526,""width"":79.88933324813843,""height"":94.85340118408203,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":51.03942781571163,""y"":31.719664625818822,""width"":8.768114578347618,""height"":53.43747165221602,""rotation"":9.513278577347933,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",21.052,"2026-01-19T08:20:20.893655Z"
260,"1","2026-01-19T08:20:57.348173Z",668,"/data/local-files/?d=raw_captures/side_view_2/20260119_165156_0013.jpg","[{""x"":33.77829194068909,""y"":0.6261378526687622,""width"":41.02621078491211,""height"":83.79884362220764,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":67.99875944852829,""y"":0.037200748920440674,""width"":32.00123608112335,""height"":45.71111500263214,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":82.19018569186964,""y"":6.284130199866339,""width"":2.3654159869494387,""height"":23.34602138843572,""rotation"":17.34025823106913,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",10.833,"2026-01-19T08:20:57.348197Z"
280,"1","2026-01-19T08:21:42.617665Z",688,"/data/local-files/?d=raw_captures/side_view_2/20260119_165156_0018.jpg","[{""x"":13.714642822742462,""y"":1.0879844427108765,""width"":37.331339716911316,""height"":89.2033576965332,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":51.539209485054016,""y"":0.058746337890625,""width"":48.460787534713745,""height"":56.59446120262146,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":68.52577513100172,""y"":6.71957853843827,""width"":2.4469820554649244,""height"":29.390987286424696,""rotation"":12.410900936242456,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",17.931,"2026-01-19T08:21:42.617683Z"
281,"1","2026-01-19T08:22:59.075913Z",689,"/data/local-files/?d=raw_captures/top_view/20260119_165156_0019.jpg","[{""x"":33.70451629161835,""y"":1.5760570764541626,""width"":31.626033782958984,""height"":54.26095724105835,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":29.758095741271973,""y"":52.46349722146988,""width"":43.31789016723633,""height"":47.536501288414,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":57.37435348149322,""y"":34.96208275188775,""width"":2.626669711717905,""height"":21.895957948160266,""rotation"":3.2517682878690266,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080},{""x"":38.676792684642926,""y"":24.506659244487512,""width"":9.624796084828684,""height"":2.900126880551032,""rotation"":0.9686168591750288,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",76.15,"2026-01-19T08:22:59.075930Z"
284,"1","2026-01-19T08:23:15.963323Z",692,"/data/local-files/?d=raw_captures/side_view_2/20260119_165156_0019.jpg","[{""x"":5.153226852416992,""y"":0.34571290016174316,""width"":36.138954758644104,""height"":89.86916542053223,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":45.5722451210022,""y"":0.21078288555145264,""width"":54.4277548789978,""height"":58.025532960891724,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":61.342413426051834,""y"":7.785805059689693,""width"":2.1650808183356145,""height"":31.272367646272514,""rotation"":11.534620653642492,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",12.319,"2026-01-19T08:23:15.963366Z"
285,"1","2026-01-19T08:23:43.353111Z",693,"/data/local-files/?d=raw_captures/top_view/20260119_165156_0020.jpg","[{""x"":33.30081254243851,""y"":1.353520154953003,""width"":32.748326659202576,""height"":59.82856750488281,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":28.31992357969284,""y"":58.808159828186035,""width"":43.32875907421112,""height"":40.99307060241699,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":58.4453096973942,""y"":37.38733540487255,""width"":2.446982055464926,""height"":24.66380907019945,""rotation"":6.53213668785088,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080},{""x"":39.04561935040174,""y"":26.87140569566349,""width"":8.928646868531281,""height"":2.18388240601239,""rotation"":2.7927023657139785,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",26.751,"2026-01-19T08:23:43.353123Z"
293,"1","2026-01-19T08:24:15.817126Z",701,"/data/local-files/?d=raw_captures/top_view/20260119_165156_0022.jpg","[{""x"":30.564510822296143,""y"":1.3568341732025146,""width"":39.35980796813965,""height"":87.05620765686035,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":24.069473147392273,""y"":85.7838474214077,""width"":55.27673363685608,""height"":14.216156303882599,""rotation"":0,""rectanglelabels"":[""Truck""],""original_width"":1920,""original_height"":1080},{""x"":60.604325522573845,""y"":48.47025697543316,""width"":3.262642740619895,""height"":32.28176245283501,""rotation"":6.415946368375899,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080},{""x"":36.47103362798585,""y"":34.93897872007457,""width"":11.337393575169779,""height"":3.1586655197124913,""rotation"":3.416588191769904,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",22.554,"2026-01-19T08:24:15.817147Z"
297,"1","2026-01-19T08:24:34.523256Z",705,"/data/local-files/?d=raw_captures/top_view/20260119_165156_0023.jpg","[{""x"":29.602597653865814,""y"":1.0837972164154053,""width"":40.58328568935394,""height"":91.12698435783386,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":60.97083688586746,""y"":50.81683705972618,""width"":2.321125823188009,""height"":32.03801235111718,""rotation"":5.650450633855371,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080},{""x"":35.64437194127243,""y"":37.26663041508067,""width"":12.479608482871125,""height"":3.9151712887438848,""rotation"":0,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",14.006,"2026-01-19T08:24:34.523268Z"
313,"1","2026-01-19T08:25:00.653668Z",721,"/data/local-files/?d=raw_captures/top_view/20260119_165156_0027.jpg","[{""x"":18.49760115146637,""y"":3.845304250717163,""width"":62.89825439453125,""height"":95.68572044372559,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":29.526916802610113,""y"":66.26789922059085,""width"":18.352365415986945,""height"":7.105310857350064,""rotation"":0,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",6.977,"2026-01-19T08:25:00.653681Z"
348,"1","2026-01-19T08:26:27.065678Z",756,"/data/local-files/?d=raw_captures/side_view_2/20260119_165156_0035.jpg","[{""x"":0,""y"":0.30668675899505615,""width"":78.65226864814758,""height"":83.83054733276367,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":68.79583706310522,""y"":10.204569280023238,""width"":5.816295551348821,""height"":30.44464413924728,""rotation"":8.595911436917106,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",14.076,"2026-01-19T08:26:27.065693Z"
352,"1","2026-01-19T08:26:40.466591Z",760,"/data/local-files/?d=raw_captures/side_view_2/20260119_165156_0036.jpg","[{""x"":0.17639696598052979,""y"":0.19975602626800537,""width"":71.5932548046112,""height"":86.0821008682251,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":60.16931475047069,""y"":11.151726237106644,""width"":8.156606851549757,""height"":34.75564830559433,""rotation"":7.431407971171041,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",9.5,"2026-01-19T08:26:40.466604Z"
357,"1","2026-01-19T08:26:53.010866Z",765,"/data/local-files/?d=raw_captures/top_view/20260119_165156_0038.jpg","[{""x"":13.333392143249512,""y"":44.65559124946594,""width"":73.10650944709778,""height"":55.31444549560547,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":52.120717781402945,""y"":46.54703643284396,""width"":13.295269168026074,""height"":4.495196664854074,""rotation"":0,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",8.553,"2026-01-19T08:26:53.010883Z"
361,"1","2026-01-19T08:27:05.500434Z",769,"/data/local-files/?d=raw_captures/top_view/20260119_165156_0039.jpg","[{""x"":13.28393816947937,""y"":57.228705286979675,""width"":73.05841445922852,""height"":42.36319661140442,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":53.6704730831974,""y"":62.787746963929706,""width"":15.25285481239804,""height"":4.640203008881644,""rotation"":0,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",9.054,"2026-01-19T08:27:05.500450Z"
364,"1","2026-01-19T08:27:23.534133Z",772,"/data/local-files/?d=raw_captures/side_view_2/20260119_165156_0039.jpg","[{""x"":0,""y"":0.2817213535308838,""width"":59.2708945274353,""height"":86.18884086608887,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":43.67417865122516,""y"":15.581140338897484,""width"":7.655272490098152,""height"":36.983493250024665,""rotation"":1.9525669269717696,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",13.633,"2026-01-19T08:27:23.534160Z"
365,"1","2026-01-19T08:27:35.639423Z",773,"/data/local-files/?d=raw_captures/top_view/20260119_165156_0040.jpg","[{""x"":12.847042083740234,""y"":75.72419792413712,""width"":73.90980124473572,""height"":24.275800585746765,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":54.48047506153885,""y"":82.90422040481543,""width"":19.34416379148611,""height"":8.085374526188836,""rotation"":357.78320565926197,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",11.92,"2026-01-19T08:27:35.639436Z"
368,"1","2026-01-19T08:27:48.210870Z",776,"/data/local-files/?d=raw_captures/side_view_2/20260119_165156_0040.jpg","[{""x"":0,""y"":0.15580952167510986,""width"":53.019893169403076,""height"":87.501460313797,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":37.357259380097865,""y"":17.835780315388796,""width"":8.156606851549766,""height"":38.42668116730108,""rotation"":0,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",8.838,"2026-01-19T08:27:48.210885Z"
526,"1","2026-01-20T01:14:00.512865Z",1031,"/data/local-files/?d=raw_captures/side_view_1/20260119_165639_0015.jpg","[{""x"":5.789482672078368,""y"":4.654332716154319,""width"":77.46976613998413,""height"":94.15931105613708,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":37.720385051082026,""y"":23.532179672353404,""width"":10.340297698009865,""height"":10.595293064275218,""rotation"":18.855990018890623,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",27.452,"2026-01-20T01:14:00.512878Z"
527,"1","2026-01-20T01:14:16.130938Z",1039,"/data/local-files/?d=raw_captures/side_view_1/20260119_165639_0017.jpg","[{""x"":5.253791809082031,""y"":6.963896751403809,""width"":83.9306652545929,""height"":93.03610324859619,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":42.88415007133368,""y"":26.222762864431893,""width"":11.777086383601711,""height"":10.969360865647493,""rotation"":21.31791227546239,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",15.069,"2026-01-20T01:14:16.130953Z"
528,"1","2026-01-20T01:14:30.512390Z",1051,"/data/local-files/?d=raw_captures/side_view_1/20260119_165639_0020.jpg","[{""x"":4.221343994140625,""y"":7.5094252824783325,""width"":89.92689251899719,""height"":92.49057173728943,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":48.70454253331305,""y"":30.52951177596053,""width"":13.91837481698385,""height"":12.291178547101367,""rotation"":17.84020430770323,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",13.871,"2026-01-20T01:14:30.512412Z"
529,"1","2026-01-20T01:14:46.502450Z",1063,"/data/local-files/?d=raw_captures/side_view_1/20260119_165639_0023.jpg","[{""x"":5.114307999610901,""y"":3.887450695037842,""width"":92.14800000190735,""height"":96.11254930496216,""rotation"":0,""rectanglelabels"":[""Container""],""original_width"":1920,""original_height"":1080},{""x"":55.81228638138362,""y"":34.644281440096414,""width"":17.00073074766394,""height"":13.216397672492846,""rotation"":20.51931716082254,""rectanglelabels"":[""CodeArea""],""original_width"":1920,""original_height"":1080}]",15.629,"2026-01-20T01:14:46.502464Z"
